FMNH #,Coll. #,Taxon,Site/Location,Date coll (text): (Collection Details)/Date Coll (verb): (Collection Details),Date coll (min): (Collection Details)/Date Coll: (Collection Details),Date coll (max): (Collection Details),Collector: (Collection Details)/Collector: (Specimen Details),Type Status: (Reference #'s)/Type Status: (Identification),Status: (Reference #'s)/Fate: (Collection Details)/Status: (Specimen Custody),Collection Notes/Collection Notes: (Notes)/Collection Notes: (Collection Details),Notes: (Note Details),Sex: (Reference #'s)/Sex: (Identification)
12461,88,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12462,25-53,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12463,113,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,17 May 1924,,S. T. Danforth,,,,,
12464,84,Anolis cristatellus,"North America, Puerto Rico: Desengano",,20 Sep 1924,,S. T. Danforth,,,,,
12465,85,Anolis cristatellus,"North America, Puerto Rico: Desengano",,02 May 1924,,S. T. Danforth,,,,,
12466,109,Anolis cristatellus,"North America, Puerto Rico: Desengano",,02 May 1924,,S. T. Danforth,,,,,
38552,,Anolis cristatellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38553,,Anolis cristatellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38554,,Anolis cristatellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38555,,Anolis cristatellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38556,,Anolis cristatellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38557,,Anolis cristatellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38558,,Anolis cristatellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38559,,Anolis cristatellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38560,,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,20 Sep 1941,,H. Trapido,,,,,
38561,,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,20 Sep 1941,,H. Trapido,,,,,
38562,,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,20 Sep 1941,,H. Trapido,,,,,
38563,,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,20 Sep 1941,,H. Trapido,,,,,
38564,,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,20 Sep 1941,,H. Trapido,,,,,
51978,6666,Anolis cristatellus,"North America, Puerto Rico: Vieques I, 3 mi E Esperanza",,18 Jun 1947,,H. Trapido,,,,,
51979,6668,Anolis cristatellus,"North America, Puerto Rico: Vieques I, 3 mi E Esperanza",,18 Jun 1947,,H. Trapido,,,,,
51980,6667,Anolis cristatellus,"North America, Puerto Rico: Vieques I, 3 mi E Esperanza",,18 Jun 1947,,H. Trapido,,,,,
